time_s,cube_x_m,cube_y_m,error_dist_mm,lat_error_mm,state
0.0,0.35001,0.25001,269.272,114.868,APPROACH
0.001,0.35001,0.25001,269.266,114.848,APPROACH
0.002,0.35,0.25,269.257,114.81,APPROACH
0.003,0.35,0.25,269.262,114.746,APPROACH
0.004,0.35,0.25,269.258,114.666,APPROACH
0.005,0.35,0.25,269.262,114.564,APPROACH
0.006,0.35,0.25,269.258,114.446,APPROACH
0.007,0.35,0.25,269.262,114.306,APPROACH
0.008,0.35,0.25,269.258,114.152,APPROACH
0.009,0.35,0.25,269.262,113.976,APPROACH
0.01,0.35,0.25,269.258,113.787,APPROACH
0.011,0.35,0.25,269.262,113.577,APPROACH
0.012,0.35,0.25,269.258,113.353,APPROACH
0.013,0.35,0.25,269.262,113.11,APPROACH
0.014,0.35,0.25,269.258,112.853,APPROACH
0.015,0.35,0.25,269.262,112.577,APPROACH
0.016,0.35,0.25,269.258,112.289,APPROACH
0.017,0.35,0.25,269.262,111.982,APPROACH
0.018,0.35,0.25,269.258,111.663,APPROACH
0.019,0.35,0.25,269.262,111.325,APPROACH
0.02,0.35,0.25,269.258,110.976,APPROACH
0.021,0.35,0.25,269.262,110.609,APPROACH
0.022,0.35,0.25,269.258,110.231,APPROACH
0.023,0.35,0.25,269.262,109.836,APPROACH
0.024,0.35,0.25,269.258,109.429,APPROACH
0.025,0.35,0.25,269.262,109.006,APPROACH
0.026,0.35,0.25,269.258,108.573,APPROACH
0.027,0.35,0.25,269.262,108.123,APPROACH
0.028,0.35,0.25,269.258,107.663,APPROACH
0.029,0.35,0.25,269.262,107.187,APPROACH
0.03,0.35,0.25,269.258,106.701,APPROACH
0.031,0.35,0.25,269.262,106.2,APPROACH
0.032,0.35,0.25,269.258,105.69,APPROACH
0.033,0.35,0.25,269.262,105.164,APPROACH
0.034,0.35,0.25,269.258,104.629,APPROACH
0.035,0.35,0.25,269.262,104.079,APPROACH
0.036,0.35,0.25,269.258,103.521,APPROACH
0.037,0.35,0.25,269.262,102.948,APPROACH
0.038,0.35,0.25,269.258,102.367,APPROACH
0.039,0.35,0.25,269.262,101.772,APPROACH
0.04,0.35,0.25,269.258,101.169,APPROACH
0.041,0.35,0.25,269.262,100.552,APPROACH
0.042,0.35,0.25,269.258,99.927,APPROACH
0.043,0.35,0.25,269.262,99.289,APPROACH
0.044,0.35,0.25,269.258,98.644,APPROACH
0.045,0.35,0.25,269.262,97.986,APPROACH
0.046,0.35,0.25,269.258,97.321,APPROACH
0.047,0.35,0.25,269.262,96.642,APPROACH
0.048,0.35,0.25,269.258,95.958,APPROACH
0.049,0.35,0.25,269.262,95.26,APPROACH
0.05,0.35,0.25,269.258,94.557,APPROACH
0.051,0.35,0.25,269.262,93.841,APPROACH
0.052,0.35,0.25,269.258,93.12,APPROACH
0.053,0.35,0.25,269.262,92.386,APPROACH
0.054,0.35,0.25,269.258,91.648,APPROACH
0.055,0.35,0.25,269.262,90.897,APPROACH
0.056,0.35,0.25,269.258,90.141,APPROACH
0.057,0.35,0.25,269.262,89.374,APPROACH
0.058,0.35,0.25,269.258,88.602,APPROACH
0.059,0.35,0.25,269.262,87.819,APPROACH
0.06,0.35,0.25,269.258,87.032,APPROACH
0.061,0.35,0.25,269.262,86.234,APPROACH
0.062,0.35,0.25,269.258,85.431,APPROACH
0.063,0.35,0.25,269.262,84.619,APPROACH
0.064,0.35,0.25,269.258,83.802,APPROACH
0.065,0.35,0.25,269.262,82.975,APPROACH
0.066,0.35,0.25,269.258,82.145,APPROACH
0.067,0.35,0.25,269.262,81.305,APPROACH
0.068,0.35,0.25,269.258,80.462,APPROACH
0.069,0.35,0.25,269.262,79.609,APPROACH
0.07,0.35,0.25,269.258,78.754,APPROACH
0.071,0.35,0.25,269.262,77.889,APPROACH
0.072,0.35,0.25,269.258,77.022,APPROACH
0.073,0.35,0.25,269.262,76.145,APPROACH
0.074,0.35,0.25,269.258,75.267,APPROACH
0.075,0.35,0.25,269.262,74.38,APPROACH
0.076,0.35,0.25,269.258,73.491,APPROACH
0.077,0.35,0.25,269.262,72.594,APPROACH
0.078,0.35,0.25,269.258,71.695,APPROACH
0.079,0.35,0.25,269.262,70.788,APPROACH
0.08,0.35,0.25,269.258,69.88,APPROACH
0.081,0.35,0.25,269.262,68.964,APPROACH
0.082,0.35,0.25,269.258,68.047,APPROACH
0.083,0.35,0.25,269.262,67.123,APPROACH
0.084,0.35,0.25,269.258,66.198,APPROACH
0.085,0.35,0.25,269.262,65.266,APPROACH
0.086,0.35,0.25,269.258,64.333,APPROACH
0.087,0.35,0.25,269.262,63.394,APPROACH
0.088,0.35,0.25,269.258,62.455,APPROACH
0.089,0.35,0.25,269.262,61.509,APPROACH
0.09,0.35,0.25,269.258,60.564,APPROACH
0.091,0.35,0.25,269.262,59.612,APPROACH
0.092,0.35,0.25,269.258,58.66,APPROACH
0.093,0.35,0.25,269.262,57.703,APPROACH
0.094,0.35,0.25,269.258,56.747,APPROACH
0.095,0.35,0.25,269.262,55.785,APPROACH
0.096,0.35,0.25,269.258,54.824,APPROACH
0.097,0.35,0.25,269.262,53.857,APPROACH
0.098,0.35,0.25,269.258,52.892,APPROACH
0.099,0.35,0.25,269.262,51.922,APPROACH
0.1,0.35,0.25,269.258,50.954,APPROACH
0.101,0.35,0.25,269.262,49.98,APPROACH
0.102,0.35,0.25,269.258,49.009,APPROACH
0.103,0.35,0.25,269.262,48.033,APPROACH
0.104,0.35,0.25,269.258,47.059,APPROACH
0.105,0.35,0.25,269.262,46.081,APPROACH
0.106,0.35,0.25,269.258,45.105,APPROACH
0.107,0.35,0.25,269.262,44.126,APPROACH
0.108,0.35,0.25,269.258,43.149,APPROACH
0.109,0.35,0.25,269.262,42.168,APPROACH
0.11,0.35,0.25,269.258,41.19,APPROACH
0.111,0.35,0.25,269.262,40.209,APPROACH
0.112,0.35,0.25,269.258,39.231,APPROACH
0.113,0.35,0.25,269.262,38.249,APPROACH
0.114,0.35,0.25,269.258,37.271,APPROACH
0.115,0.35,0.25,269.262,36.29,APPROACH
0.116,0.35,0.25,269.258,35.313,APPROACH
0.117,0.35,0.25,269.262,34.333,APPROACH
0.118,0.35,0.25,269.258,33.357,APPROACH
0.119,0.35,0.25,269.262,32.378,APPROACH
0.12,0.35,0.25,269.258,31.403,APPROACH
0.121,0.35,0.25,269.262,30.426,APPROACH
0.122,0.35,0.25,269.258,29.454,APPROACH
0.123,0.35,0.25,269.262,28.479,APPROACH
0.124,0.35,0.25,269.258,27.509,APPROACH
0.125,0.35,0.25,269.262,26.537,APPROACH
0.126,0.35,0.25,269.258,25.57,APPROACH
0.127,0.35,0.25,269.262,24.601,APPROACH
0.128,0.35,0.25,269.258,23.637,APPROACH
0.129,0.35,0.25,269.262,22.671,APPROACH
0.13,0.35,0.25,269.258,21.711,APPROACH
0.131,0.35,0.25,269.262,20.749,APPROACH
0.132,0.35,0.25,269.258,19.793,APPROACH
0.133,0.35,0.25,269.262,18.836,APPROACH
0.134,0.35,0.25,269.258,17.884,APPROACH
0.135,0.35,0.25,269.262,16.931,APPROACH
0.136,0.35,0.25,269.258,15.985,APPROACH
0.137,0.35,0.25,269.262,15.037,APPROACH
0.138,0.35,0.25,269.258,14.095,APPROACH
0.139,0.35,0.25,269.262,13.153,APPROACH
0.14,0.35,0.25,269.258,12.217,APPROACH
0.141,0.35,0.25,269.262,11.28,APPROACH
0.142,0.35,0.25,269.258,10.35,APPROACH
0.143,0.35,0.25,269.262,9.419,APPROACH
0.144,0.35,0.25,269.258,8.495,APPROACH
0.145,0.35,0.25,269.262,7.571,APPROACH
0.146,0.35,0.25,269.258,6.654,APPROACH
0.147,0.35,0.25,269.262,5.736,APPROACH
0.148,0.35,0.25,269.258,4.825,APPROACH
0.149,0.35,0.25,269.262,3.915,APPROACH
0.15,0.35,0.25,269.258,3.011,APPROACH
0.151,0.35,0.25,269.262,2.107,APPROACH
0.152,0.35,0.25,269.258,1.211,APPROACH
0.153,0.35,0.25,269.262,0.315,APPROACH
0.154,0.35,0.25,269.258,0.574,APPROACH
0.155,0.35,0.25,269.262,1.462,APPROACH
0.156,0.35,0.25,269.258,2.343,APPROACH
0.157,0.35,0.25,269.262,3.223,APPROACH
0.158,0.35,0.25,269.258,4.096,APPROACH
0.159,0.35,0.25,269.262,4.968,APPROACH
0.16,0.35,0.25,269.258,5.832,APPROACH
0.161,0.35,0.25,269.262,6.696,APPROACH
0.162,0.35,0.25,269.258,7.551,APPROACH
0.163,0.35,0.25,269.262,8.406,APPROACH
0.164,0.35,0.25,269.258,9.253,APPROACH
0.165,0.35,0.25,269.262,10.1,APPROACH
0.166,0.35,0.25,269.258,10.938,APPROACH
0.167,0.35,0.25,269.262,11.775,APPROACH
0.168,0.35,0.25,269.258,12.604,APPROACH
0.169,0.35,0.25,269.262,13.431,APPROACH
0.17,0.35,0.25,269.258,14.251,APPROACH
0.171,0.35,0.25,269.262,15.07,APPROACH
0.172,0.35,0.25,269.258,15.88,APPROACH
0.173,0.35,0.25,269.262,16.689,APPROACH
0.174,0.35,0.25,269.258,17.489,APPROACH
0.175,0.35,0.25,269.262,18.288,APPROACH
0.176,0.35,0.25,269.258,19.079,APPROACH
0.177,0.35,0.25,269.262,19.868,APPROACH
0.178,0.35,0.25,269.258,20.649,APPROACH
0.179,0.35,0.25,269.262,21.429,APPROACH
0.18,0.35,0.25,269.258,22.2,APPROACH
0.181,0.35,0.25,269.262,22.969,APPROACH
0.182,0.35,0.25,269.258,23.73,APPROACH
0.183,0.35,0.25,269.262,24.489,APPROACH
0.184,0.35,0.25,269.258,25.239,APPROACH
0.185,0.35,0.25,269.262,25.988,APPROACH
0.186,0.35,0.25,269.258,26.728,APPROACH
0.187,0.35,0.25,269.262,27.466,APPROACH
0.188,0.35,0.25,269.258,28.196,APPROACH
0.189,0.35,0.25,269.262,28.924,APPROACH
0.19,0.35,0.25,269.258,29.643,APPROACH
0.191,0.35,0.25,269.262,30.36,APPROACH
0.192,0.35,0.25,269.258,31.069,APPROACH
0.193,0.35,0.25,269.262,31.776,APPROACH
0.194,0.35,0.25,269.258,32.474,APPROACH
0.195,0.35,0.25,269.262,33.17,APPROACH
