time_s,cube_x_m,cube_y_m,error_dist_mm,lat_error_mm,state
0.0,0.35,0.3,316.228,117.374,APPROACH
0.001,0.35073,0.25043,269.935,100.983,APPROACH
0.002,0.35073,0.25043,269.935,100.943,APPROACH
0.003,0.35073,0.25043,269.935,100.883,APPROACH
0.004,0.35073,0.25043,269.935,100.805,APPROACH
0.005,0.35073,0.25043,269.935,100.709,APPROACH
0.006,0.35073,0.25043,269.935,100.595,APPROACH
0.007,0.35073,0.25043,269.935,100.463,APPROACH
0.008,0.35073,0.25043,269.935,100.314,APPROACH
0.009,0.35073,0.25043,269.935,100.148,APPROACH
0.01,0.35073,0.25043,269.935,99.965,APPROACH
0.011,0.35073,0.25043,269.935,99.765,APPROACH
0.012,0.35073,0.25043,269.935,99.549,APPROACH
0.013,0.35073,0.25043,269.935,99.318,APPROACH
0.014,0.35073,0.25043,269.935,99.07,APPROACH
0.015,0.35073,0.25043,269.935,98.807,APPROACH
0.016,0.35073,0.25043,269.935,98.529,APPROACH
0.017,0.35073,0.25043,269.935,98.236,APPROACH
0.018,0.35073,0.25043,269.935,97.928,APPROACH
0.019,0.35073,0.25043,269.935,97.605,APPROACH
0.02,0.35073,0.25043,269.935,97.268,APPROACH
0.021,0.35073,0.25043,269.935,96.916,APPROACH
0.022,0.35073,0.25043,269.935,96.551,APPROACH
0.023,0.35073,0.25043,269.935,96.171,APPROACH
0.024,0.35073,0.25043,269.935,95.778,APPROACH
0.025,0.35073,0.25043,269.935,95.372,APPROACH
0.026,0.35073,0.25043,269.935,94.952,APPROACH
0.027,0.35073,0.25043,269.935,94.518,APPROACH
0.028,0.35073,0.25043,269.935,94.072,APPROACH
0.029,0.35073,0.25043,269.935,93.613,APPROACH
0.03,0.35073,0.25043,269.935,93.141,APPROACH
0.031,0.35073,0.25043,269.935,92.657,APPROACH
0.032,0.35073,0.25043,269.935,92.16,APPROACH
0.033,0.35073,0.25043,269.935,91.651,APPROACH
0.034,0.35073,0.25044,269.935,91.129,APPROACH
0.035,0.35073,0.25044,269.935,90.597,APPROACH
0.036,0.35073,0.25044,269.935,90.052,APPROACH
0.037,0.35073,0.25044,269.935,89.495,APPROACH
0.038,0.35073,0.25044,269.935,88.928,APPROACH
0.039,0.35073,0.25044,269.935,88.349,APPROACH
0.04,0.35073,0.25044,269.935,87.758,APPROACH
0.041,0.35073,0.25044,269.935,87.157,APPROACH
0.042,0.35073,0.25044,269.935,86.545,APPROACH
0.043,0.35073,0.25044,269.935,85.922,APPROACH
0.044,0.35073,0.25044,269.935,85.288,APPROACH
0.045,0.35073,0.25044,269.935,84.644,APPROACH
0.046,0.35073,0.25044,269.935,83.99,APPROACH
0.047,0.35073,0.25044,269.935,83.325,APPROACH
0.048,0.35073,0.25044,269.935,82.651,APPROACH
0.049,0.35073,0.25044,269.935,81.966,APPROACH
0.05,0.35073,0.25044,269.935,81.272,APPROACH
0.051,0.35073,0.25044,269.935,80.569,APPROACH
0.052,0.35073,0.25044,269.935,79.856,APPROACH
0.053,0.35073,0.25044,269.935,79.133,APPROACH
0.054,0.35073,0.25044,269.935,78.402,APPROACH
0.055,0.35073,0.25044,269.935,77.661,APPROACH
0.056,0.35073,0.25044,269.935,76.912,APPROACH
0.057,0.35073,0.25044,269.935,76.154,APPROACH
0.058,0.35073,0.25044,269.935,75.387,APPROACH
0.059,0.35073,0.25044,269.935,74.612,APPROACH
0.06,0.35073,0.25044,269.935,73.829,APPROACH
0.061,0.35073,0.25044,269.935,73.038,APPROACH
0.062,0.35073,0.25044,269.935,72.239,APPROACH
0.063,0.35073,0.25044,269.935,71.432,APPROACH
0.064,0.35073,0.25044,269.935,70.617,APPROACH
0.065,0.35073,0.25044,269.935,69.795,APPROACH
0.066,0.35073,0.25044,269.935,68.965,APPROACH
0.067,0.34868,0.25303,271.594,70.9,APPROACH
0.068,0.34868,0.25303,271.594,70.056,APPROACH
0.069,0.34868,0.25303,271.594,69.206,APPROACH
0.07,0.34868,0.25303,271.594,68.349,APPROACH
0.071,0.34868,0.25303,271.594,67.485,APPROACH
0.072,0.34868,0.25303,271.594,66.615,APPROACH
0.073,0.34868,0.25303,271.594,65.738,APPROACH
0.074,0.34868,0.25303,271.594,64.856,APPROACH
0.075,0.34868,0.25303,271.594,63.967,APPROACH
0.076,0.34868,0.25303,271.594,63.073,APPROACH
0.077,0.34868,0.25303,271.594,62.173,APPROACH
0.078,0.34868,0.25303,271.594,61.268,APPROACH
0.079,0.34868,0.25303,271.594,60.357,APPROACH
0.08,0.34868,0.25303,271.594,59.441,APPROACH
0.081,0.34868,0.25303,271.594,58.521,APPROACH
0.082,0.34868,0.25303,271.594,57.595,APPROACH
0.083,0.34868,0.25303,271.594,56.665,APPROACH
0.084,0.34868,0.25303,271.594,55.73,APPROACH
0.085,0.34868,0.25303,271.594,54.791,APPROACH
0.086,0.34868,0.25303,271.594,53.847,APPROACH
0.087,0.34868,0.25303,271.594,52.9,APPROACH
0.088,0.34868,0.25303,271.594,51.948,APPROACH
0.089,0.34868,0.25303,271.594,50.993,APPROACH
0.09,0.34868,0.25303,271.594,50.034,APPROACH
0.091,0.34868,0.25303,271.594,49.072,APPROACH
0.092,0.34868,0.25303,271.594,48.107,APPROACH
0.093,0.34868,0.25303,271.594,47.138,APPROACH
0.094,0.34868,0.25303,271.594,46.166,APPROACH
0.095,0.34868,0.25303,271.594,45.192,APPROACH
0.096,0.34868,0.25303,271.594,44.215,APPROACH
0.097,0.34868,0.25303,271.594,43.235,APPROACH
0.098,0.34868,0.25303,271.594,42.253,APPROACH
0.099,0.34868,0.25303,271.594,41.269,APPROACH
0.1,0.34868,0.25303,271.594,40.283,APPROACH
0.101,0.34699,0.25056,268.677,40.118,APPROACH
0.102,0.34699,0.25056,268.677,39.128,APPROACH
0.103,0.34699,0.25056,268.677,38.137,APPROACH
0.104,0.34699,0.25056,268.677,37.144,APPROACH
0.105,0.34699,0.25056,268.677,36.149,APPROACH
0.106,0.34699,0.25056,268.677,35.153,APPROACH
0.107,0.34699,0.25056,268.677,34.157,APPROACH
0.108,0.34699,0.25056,268.677,33.159,APPROACH
0.109,0.34699,0.25056,268.677,32.16,APPROACH
0.11,0.34699,0.25056,268.677,31.161,APPROACH
0.111,0.34699,0.25056,268.677,30.162,APPROACH
0.112,0.34699,0.25056,268.677,29.162,APPROACH
0.113,0.34699,0.25056,268.677,28.161,APPROACH
0.114,0.34699,0.25056,268.677,27.161,APPROACH
0.115,0.34699,0.25056,268.677,26.161,APPROACH
0.116,0.34699,0.25056,268.677,25.161,APPROACH
0.117,0.34699,0.25056,268.677,24.161,APPROACH
0.118,0.34699,0.25056,268.677,23.162,APPROACH
0.119,0.34699,0.25056,268.677,22.163,APPROACH
0.12,0.34699,0.25056,268.677,21.165,APPROACH
0.121,0.34699,0.25056,268.677,20.167,APPROACH
0.122,0.34699,0.25056,268.677,19.171,APPROACH
0.123,0.34699,0.25056,268.677,18.175,APPROACH
0.124,0.34699,0.25056,268.677,17.181,APPROACH
0.125,0.34699,0.25056,268.677,16.188,APPROACH
0.126,0.34699,0.25056,268.677,15.197,APPROACH
0.127,0.34699,0.25056,268.677,14.207,APPROACH
0.128,0.34699,0.25056,268.677,13.219,APPROACH
0.129,0.34699,0.25056,268.677,12.232,APPROACH
0.13,0.34699,0.25056,268.677,11.248,APPROACH
0.131,0.34699,0.25056,268.677,10.265,APPROACH
0.132,0.34699,0.25056,268.677,9.285,APPROACH
0.133,0.34699,0.25056,268.677,8.306,APPROACH
0.134,0.34577,0.25166,269.264,8.831,APPROACH
0.135,0.34577,0.25166,269.264,7.858,APPROACH
0.136,0.34577,0.25166,269.264,6.886,APPROACH
0.137,0.34577,0.25166,269.264,5.918,APPROACH
0.138,0.34577,0.25166,269.264,4.952,APPROACH
0.139,0.34577,0.25166,269.264,3.989,APPROACH
0.14,0.34577,0.25166,269.264,3.029,APPROACH
0.141,0.34577,0.25166,269.264,2.072,APPROACH
0.142,0.34577,0.25166,269.264,1.118,APPROACH
0.143,0.34577,0.25166,269.264,0.168,APPROACH
0.144,0.34577,0.25166,269.264,0.78,APPROACH
0.145,0.34577,0.25166,269.264,1.724,APPROACH
0.146,0.34577,0.25166,269.264,2.664,APPROACH
0.147,0.34577,0.25166,269.264,3.601,APPROACH
0.148,0.34577,0.25166,269.264,4.535,APPROACH
0.149,0.34577,0.25166,269.264,5.464,APPROACH
0.15,0.34577,0.25166,269.264,6.39,APPROACH
0.151,0.34577,0.25166,269.264,7.312,APPROACH
0.152,0.34577,0.25166,269.264,8.23,APPROACH
0.153,0.34577,0.25166,269.264,9.144,APPROACH
0.154,0.34577,0.25166,269.264,10.054,APPROACH
0.155,0.34577,0.25166,269.264,10.96,APPROACH
0.156,0.34577,0.25166,269.264,11.862,APPROACH
0.157,0.34577,0.25166,269.264,12.759,APPROACH
0.158,0.34577,0.25166,269.264,13.652,APPROACH
0.159,0.34577,0.25166,269.264,14.54,APPROACH
0.16,0.34577,0.25166,269.264,15.424,APPROACH
0.161,0.34577,0.25166,269.264,16.303,APPROACH
0.162,0.34577,0.25166,269.264,17.178,APPROACH
0.163,0.34577,0.25166,269.264,18.048,APPROACH
0.164,0.34577,0.25166,269.264,18.913,APPROACH
0.165,0.34577,0.25166,269.264,19.774,APPROACH
0.166,0.34577,0.25166,269.264,20.629,APPROACH
0.167,0.34519,0.25182,269.212,20.876,APPROACH
0.168,0.34519,0.25182,269.212,21.722,APPROACH
0.169,0.34519,0.25182,269.212,22.562,APPROACH
0.17,0.34519,0.25182,269.212,23.398,APPROACH
0.171,0.34519,0.25182,269.212,24.228,APPROACH
0.172,0.34519,0.25182,269.212,25.054,APPROACH
0.173,0.34519,0.25182,269.212,25.874,APPROACH
0.174,0.34519,0.25182,269.212,26.689,APPROACH
0.175,0.34519,0.25182,269.212,27.498,APPROACH
0.176,0.34519,0.25182,269.212,28.302,APPROACH
0.177,0.34519,0.25182,269.212,29.101,APPROACH
0.178,0.34519,0.25182,269.212,29.894,APPROACH
0.179,0.34519,0.25182,269.212,30.682,APPROACH
0.18,0.34519,0.25182,269.212,31.465,APPROACH
0.181,0.34519,0.25182,269.212,32.242,APPROACH
0.182,0.34519,0.25182,269.212,33.013,APPROACH
0.183,0.34519,0.25182,269.212,33.779,APPROACH
0.184,0.34519,0.25182,269.212,34.539,APPROACH
0.185,0.34519,0.25182,269.212,35.294,APPROACH
0.186,0.34519,0.25182,269.212,36.043,APPROACH
0.187,0.34519,0.25182,269.212,36.786,APPROACH
0.188,0.34519,0.25182,269.212,37.523,APPROACH
0.189,0.34519,0.25182,269.212,38.255,APPROACH
0.19,0.34519,0.25182,269.212,38.981,APPROACH
0.191,0.34519,0.25182,269.212,39.701,APPROACH
0.192,0.34519,0.25182,269.212,40.416,APPROACH
0.193,0.34519,0.25182,269.212,41.125,APPROACH
0.194,0.34519,0.25182,269.212,41.827,APPROACH
0.195,0.34519,0.25182,269.212,42.524,APPROACH
0.196,0.34519,0.25182,269.212,43.215,APPROACH
0.197,0.34519,0.25182,269.212,43.901,APPROACH
0.198,0.34519,0.25182,269.212,44.58,APPROACH
0.199,0.34519,0.25182,269.212,45.253,APPROACH
0.2,0.34519,0.25182,269.212,45.921,APPROACH
0.201,0.34832,0.25904,277.068,47.275,APPROACH
0.202,0.34832,0.25904,277.068,47.93,APPROACH
0.203,0.34832,0.25904,277.068,48.58,APPROACH
0.204,0.34832,0.25904,277.068,49.224,APPROACH
0.205,0.34832,0.25904,277.068,49.862,APPROACH
0.206,0.34832,0.25904,277.068,50.494,APPROACH
0.207,0.34832,0.25904,277.068,51.12,APPROACH
0.208,0.34832,0.25904,277.068,51.74,APPROACH
0.209,0.34832,0.25904,277.068,52.354,APPROACH
0.21,0.34832,0.25904,277.068,52.962,APPROACH
0.211,0.34832,0.25904,277.068,53.564,APPROACH
0.212,0.34832,0.25904,277.068,54.16,APPROACH
0.213,0.34832,0.25904,277.068,54.751,APPROACH
0.214,0.34832,0.25904,277.068,55.335,APPROACH
0.215,0.34832,0.25904,277.068,55.914,APPROACH
0.216,0.34832,0.25904,277.068,56.486,APPROACH
